Papel,Cotação,Tipo,Data últ cot,Empresa,Min 52 sem,Setor,Max 52 sem,Subsetor,Vol $ méd (2m),Valor de mercado,Últ balanço processado,Valor da firma,Nro. Ações,Dia,P/L,LPA,Mês,P/VP,VPA,30 dias,P/EBIT,Marg. Bruta,12 meses,PSR,Marg. EBIT,2020,P/Ativos,Marg. Líquida,2019,P/Cap. Giro,EBIT / Ativo,2018,P/Ativ Circ Liq,ROIC,2017,Div. Yield,ROE,2016,EV / EBITDA,Liquidez Corr,2015,EV / EBIT,Div Br/ Patrim,Cres. Rec (5a),Giro Ativos,Ativo,Patrim. Líq,N
MRFG3,8.86,ON NM,09/04/2020,Marfrig ON NM,6.29,Alimentos,13.99,Carnes e Derivados,192.842.000,6.302.740.000,31/12/2019,20.132.700.000,711.370.000,"-1,01%",28.9,0.31,"0,11%",10.19,0.87,"3,38%","1,76",13.1,"30,87%",0.13,7.3,"-11,04%",0.2,3.2,"82,42%",1.66,11.3,"-25,41%","-0,41",17.6,"10,74%",0.0,35.3,"4,09%",4.22,1.36,"12,19%","5,63",35.95,"26,2%",1.54,31.572.000.000,618.565.000,99
LEVE3,17.0,ON,09/04/2020,MAHLE METAL LEVE ON,15.1,Material de Transporte,32.77,Material Rodoviário,10.460.500,2.181.240.000,31/12/2019,2.431.530.000,128.308.000,"-1,96%",8.42,2.02,"-3,08%",1.67,10.16,"-28,12%","5,60",25.3,"-23,18%",0.86,15.4,"-40,81%",0.94,10.1,"24,46%",4.28,16.7,"12,66%","33,00",19.4,"17,98%",12.6,19.9,"-14,19%",5.02,1.87,"26,34%","6,25",0.32,"2,3%",1.09,2.327.650.000,1.303.550.000,100
MILS3,4.71,ON NM,09/04/2020,MILLS ON NM,3.36,Construção e Engenharia,10.85,Construção Civil,11.777.500,1.186.290.000,31/12/2019,1.211.590.000,251.866.000,"1,51%",-26.37,-0.18,"22,02%",1.07,4.4,"-30,94%","-37,66",35.7,"-2,08%",2.7,-7.2,"-54,93%",0.86,-10.2,"144,16%",9.0,-2.3,"3,88%","31,65",-2.6,"5,37%",0.0,-4.1,"46,99%",9.27,1.76,"-71,73%","-38,46",0.14,"-7,8%",0.32,1.375.900.000,1.107.370.000,101
BEEF3,8.63,ON NM,09/04/2020,Minerva ON NM,6.6,Alimentos,15.65,Carnes e Derivados,77.868.500,4.190.560.000,31/12/2019,10.198.600.000,485.580.000,"-0,92%",259.37,0.03,"8,55%",-14.88,-0.58,"1,05%","2,86",19.2,"15,84%",0.24,8.6,"-32,79%",0.32,0.1,"157,32%",1.59,11.1,"-53,15%","-0,80",19.8,"-9,90%",0.0,-5.7,"-8,58%",5.89,1.47,"40,24%","6,95",-37.2,"18,4%",1.29,13.233.700.000,-281.662.000,102
MTRE3,10.9,ON NM,09/04/2020,MITRE REALTY ON NM,9.55,Construção e Engenharia,20.8,Construção Civil,17.042.600,1.152.950.000,31/12/2019,1.240.400.000,105.775.000,"5,93%",36.09,0.3,"-0,91%",18.22,0.6,"-9,77%","24,74",31.8,"-47,60%",3.7,14.9,"-47,60%",2.91,10.3,"0,00%",14.62,11.8,"0,00%","-37,65",13.3,"0,00%",0.0,50.5,"0,00%",25.76,1.35,"0,00%","26,61",1.93,"107,6%",0.79,396.035.000,63.281.000,103
MDNE3,6.43,ON NM,09/04/2020,MOURA DUBEUX ON NM,4.31,Construção e Engenharia,18.5,Construção Civil,18.171.800,545.965.000,31/12/2019,1.658.040.000,84.909.000,"7,17%",-5.67,-1.13,"4,05%",6.7,0.96,"-49,77%","6,43",39.7,"-65,24%",1.34,20.8,"-65,24%",0.24,-24.3,"0,00%",-12.57,3.8,"0,00%","-0,56",3.9,"0,00%",0.0,-118.3,"0,00%",18.86,0.96,"0,00%","19,51",14.02,"-18,4%",0.18,2.242.400.000,81.438.000,104
MOVI3,9.86,ON NM,09/04/2020,MOVIDA ON NM,7.71,Diversos,22.49,Aluguel de Carros,51.623.400,2.947.360.000,31/12/2019,5.044.440.000,298.921.000,"1,54%",12.94,0.76,"21,88%",1.28,7.7,"-29,06%","5,86",24.5,"-7,68%",0.77,13.1,"-48,14%",0.41,5.9,"125,74%",-10.16,6.9,"27,18%","-0,98",10.5,"-3,34%",3.7,9.9,"0,00%",6.49,0.87,"0,00%","10,03",1.37,"29,6%",0.53,7.242.820.000,2.301.000.000,105
MRVE3,13.36,ON NM,09/04/2020,MRV ON NM,10.28,Construção e Engenharia,22.35,Construção Civil,106.554.000,6.438.910.000,31/12/2019,8.966.140.000,481.954.000,"3,49%",9.33,1.43,"9,15%",1.33,10.05,"-12,96%","7,17",30.4,"3,09%",1.06,14.8,"-38,00%",0.44,12.3,"85,62%",1.29,6.1,"6,12%","-3,62",6.6,"43,57%",7.7,14.3,"29,81%",9.1,2.78,"20,53%","9,98",0.66,"7,5%",0.41,14.686.300.000,4.841.770.000,106
MULT3,19.56,ON N2,09/04/2020,Multiplan ON N2,17.2,Exploração de Imóveis,35.52,Exploração de Imóveis,160.113.000,11.750.900.000,31/12/2019,13.946.400.000,600.761.000,"-3,02%",24.95,0.78,"2,52%",2.1,9.3,"-27,26%","15,04",79.2,"-13,31%",9.0,59.8,"-40,68%",1.23,35.9,"38,09%",30.08,8.2,"4,35%","-4,41",9.2,"21,86%",2.4,8.4,"57,35%",13.92,1.42,"-12,04%","17,85",0.56,"5,2%",0.14,9.576.750.000,5.587.670.000,107
NEOE3,17.2,ON NM,09/04/2020,NEOENERGIA ON NM,14.9,Energia Elétrica,27.53,Energia Elétrica,83.165.800,20.877.300.000,31/12/2019,39.475.400.000,1.213.800.000,"0,88%",9.37,1.84,"0,06%",1.1,15.63,"-21,46%","4,43",22.4,"3,45%",0.73,16.5,"-30,44%",0.39,8.1,"48,72%",6.18,8.7,"0,00%","-0,95",10.0,"0,00%",2.7,11.7,"0,00%",6.39,1.35,"0,00%","8,39",1.19,"20,5%",0.52,54.214.800.000,18.974.900.000,108
OIBR3,0.51,ON N1,09/04/2020,OI ON N1,0.44,Telefonia Fixa,1.78,Telefonia Fixa,143.207.000,3.036.640.000,31/12/2019,18.997.600.000,5.954.210.000,"0,00%",-0.34,-1.51,"2,00%",0.17,2.96,"-36,25%","-2,01",23.9,"-65,31%",0.15,-7.5,"-40,70%",0.04,-45.2,"-31,20%",0.49,-2.1,"-53,87%","-0,08",-2.4,"38,27%",0.0,-51.0,"9,50%",3.54,1.52,"-73,72%","-12,59",1.03,"-7,5%",0.28,71.891.800.000,17.650.300.000,109
OIBR4,0.92,ON N1,09/04/2020,OI ON N1,0.85,Telefonia Fixa,1.79,Telefonia Fixa,3.073.830,5.477.870.000,31/12/2019,21.438.800.000,5.954.210.000,"2,22%",-0.61,-1.51,"-1,08%",0.31,2.96,"-18,58%","-3,63",23.9,"-39,47%",0.27,-7.5,"-25,20%",0.08,-45.2,"-2,38%",0.89,-2.1,"-50,39%","-0,15",-2.4,"53,94%",0.0,-51.0,"15,38%",4.0,1.52,"-76,82%","-14,21",1.03,"-7,5%",0.28,71.891.800.000,17.650.300.000,110
OMGE3,30.23,ON NM,09/04/2020,OMEGA GER ON NM,20.0,Energia Elétrica,43.0,Energia Elétrica,21.286.400,5.138.040.000,31/12/2019,8.157.580.000,169.965.000,"-2,48%",189.25,0.16,"11,22%",1.82,16.57,"-11,09%","14,40",39.2,"45,48%",5.07,35.2,"-17,18%",0.71,3.2,"109,17%",5.45,4.9,"0,23%","-1,64",5.7,"6,09%",0.0,1.0,"0,00%",15.0,3.81,"0,00%","22,86",1.42,"69,1%",0.14,7.262.470.000,2.816.510.000,111
PCAR3,63.3,ON,09/04/2020,PÃO DE AÇÚCAR ON,57.69,Comércio e Distribuição,100.0,Alimentos,83.061.500,16.967.300.000,31/12/2019,23.207.300.000,268.046.000,"-4,09%",21.48,2.95,"-4,58%",1.55,40.81,"-3,06%","4,43",21.5,"-31,80%",0.3,6.8,"-28,78%",0.29,1.5,"5,60%",-5.23,6.6,"1,26%","-0,69",10.9,"80,77%",0.2,7.2,"-14,99%",4.31,0.86,"-24,78%","6,06",1.3,"-2,2%",0.98,57.991.000.000,10.940.000.000,112
PMAM3,9.45,ON,09/04/2020,PARANAPANEMA S.A. ON,7.49,Siderurgia e Metalurgia,43.5,Artefatos de Cobre,3.407.360,410.168.000,31/12/2019,2.491.300.000,43.404.000,"3,50%",-16.36,-0.58,"-12,98%",0.66,14.32,"-46,76%","-5,93",1.2,"-61,40%",0.08,-1.3,"-67,51%",0.11,-0.5,"22,23%",1.83,-1.8,"-11,95%","-0,25",-2.1,"4,61%",0.0,-4.0,"-27,62%",29.96,1.17,"-6,25%","-36,02",3.56,"-0,2%",1.35,3.870.090.000,621.396.000,113
PETR3,16.86,ON,09/04/2020,PETROBRAS ON,11.05,"Petróleo, Gás e Biocombustíveis",33.28,Exploração e/ou Refino e Distribuição,852.007.000,219.930.000.000,31/12/2019,537.797.000.000,13.044.500.000,"-3,66%",5.48,3.08,"19,24%",0.74,22.66,"-0,35%","2,29",40.4,"-47,28%",0.73,31.8,"-47,31%",0.24,13.6,"27,74%",-54.36,10.4,"51,54%","-0,43",11.0,"-0,18%",3.0,13.6,"97,38%",3.38,0.97,"-4,55%","5,60",1.19,"0,9%",0.33,926.011.000.000,295.541.000.000,114
PETR4,16.82,PN,09/04/2020,PETROBRAS PN,11.29,"Petróleo, Gás e Biocombustíveis",30.81,Exploração e/ou Refino e Distribuição,1.987.660.000,219.408.000.000,31/12/2019,537.275.000.000,13.044.500.000,"-2,89%",5.47,3.08,"20,23%",0.74,22.66,"4,80%","2,29",40.4,"-40,68%",0.73,31.8,"-44,27%",0.24,13.6,"36,87%",-54.23,10.4,"45,91%","-0,43",11.0,"8,29%",5.6,13.6,"121,32%",3.37,0.97,"-28,15%","5,60",1.19,"0,9%",0.33,926.011.000.000,295.541.000.000,115
BRDT3,19.42,ON NM,09/04/2020,PETROBRAS BR ON NM,13.74,"Petróleo, Gás e Biocombustíveis",31.09,Exploração e/ou Refino e Distribuição,194.687.000,22.624.300.000,31/12/2019,27.037.300.000,1.165.000.000,"1,68%",10.23,1.9,"25,21%",2.58,7.52,"-12,52%","10,91",6.3,"-8,35%",0.24,2.2,"-35,42%",0.87,2.3,"30,51%",6.24,8.0,"59,12%","-4,64",9.8,"6,94%",13.5,25.2,"0,00%",10.4,1.42,"0,00%","13,04",0.77,"4,3%",3.67,25.866.000.000,8.766.000.000,116
PRIO3,24.7,ON,09/04/2020,PETRORIO ON,10.35,"Petróleo, Gás e Biocombustíveis",48.8,Exploração e/ou Refino e Distribuição,141.404.000,3.573.740.000,31/12/2019,5.085.710.000,144.686.000,"-11,75%",5.62,4.4,"47,90%",1.9,12.98,"9,83%","7,67",39.7,"37,15%",2.17,28.3,"-25,29%",0.65,38.7,"233,27%",-15.16,8.5,"21,27%","-1,66",10.0,"275,23%",0.0,33.9,"77,24%",5.53,0.86,"-44,09%","10,91",1.17,"56,8%",0.3,5.483.790.000,1.878.370.000,117
PTBL3,2.25,ON,09/04/2020,PORTOBELLO S/A ON,1.78,Construção e Engenharia,6.7,Materiais de Construção,6.403.090,356.600.000,31/12/2019,877.129.000,158.489.000,"-1,75%",27.16,0.08,"0,90%",0.97,2.32,"-44,99%","23,29",32.5,"-53,70%",0.32,1.4,"-58,10%",0.19,1.2,"6,55%",1.48,0.8,"-1,75%","-0,58",1.1,"175,81%",0.0,3.6,"0,54%",12.7,1.39,"-52,93%","57,29",2.17,"1,4%",0.61,1.836.290.000,367.620.000,118
POSI3,3.27,ON NM,09/04/2020,POSITIVO INF ON NM,2.2,Computadores e Equipamentos,11.47,Computadores e Equipamentos,17.613.400,463.686.000,31/12/2019,715.096.000,141.800.000,"-3,54%",28.17,0.12,"-6,03%",0.88,3.72,"-24,83%","4,88",25.1,"43,42%",0.24,5.0,"-67,91%",0.24,1.1,"354,91%",1.58,4.9,"-27,97%","7,57",8.6,"12,27%",0.0,3.1,"63,91%",5.13,1.25,"-13,33%","7,53",1.35,"1,9%",0.98,1.945.400.000,527.024.000,119
PRNR3,8.85,ON NM,09/04/2020,PRINER ON NM,7.55,Serviços,14.97,Serviços Diversos,5.781.270,336.698.000,31/12/2019,378.200.000,38.045.000,"5,86%",-55.12,-0.16,"9,94%",4.53,1.95,"-25,00%","48,36",14.1,"-33,96%",0.97,2.0,"-33,96%",1.41,-3.1,"0,00%",10.3,2.9,"0,00%","-9,08",3.8,"0,00%",0.2,-8.2,"0,00%",14.18,1.34,"0,00%","54,32",1.16,"21,3%",1.46,239.541.000,74.328.000,120
PFRM3,4.29,ON NM,09/04/2020,PROFARMA ON NM,3.1,Comércio e Distribuição,7.69,Medicamentos,2.880.600,531.158.000,31/12/2019,973.493.000,123.813.000,"0,23%",44.34,0.1,"-0,23%",0.53,8.11,"-9,68%","2,92",15.4,"-0,23%",0.11,3.8,"-33,69%",0.17,0.2,"64,63%",1.02,5.7,"-44,88%","-6,40",9.6,"-8,94%",0.0,1.2,"70,96%",3.13,1.33,"-42,24%","5,35",0.67,"7,2%",1.51,3.183.390.000,1.004.630.000,121
QUAL3,24.05,ON NM,09/04/2020,QUALICORP ON NM,13.08,Saúde,44.99,"Serviços Médico - Hospitalares, Análises e Diagnósticos",149.525.000,6.830.540.000,31/12/2019,7.669.130.000,284.014.000,"-4,60%",17.39,1.38,"1,91%",4.79,5.02,"-15,91%","8,67",81.1,"78,68%",3.41,39.3,"-35,18%",2.02,19.6,"242,88%",15.02,23.3,"-56,89%","-6,65",29.8,"69,25%",19.9,27.5,"51,48%",6.56,1.97,"-41,13%","9,73",0.93,"2,8%",0.59,3.380.060.000,1.426.840.000,122
RADL3,101.96,ON,09/04/2020,RAIADROGASIL ON,63.41,Comércio e Distribuição,128.45,Medicamentos,249.890.000,33.686.200.000,31/12/2019,34.513.400.000,330.386.000,"0,56%",43.62,2.34,"0,11%",8.37,12.18,"-11,92%","37,01",29.6,"52,35%",1.92,5.2,"-8,57%",2.75,4.5,"96,69%",20.08,7.4,"-37,26%","-13,94",9.8,"51,16%",0.6,19.2,"73,98%",17.95,1.41,"41,97%","37,92",0.28,"17,8%",1.43,12.248.300.000,4.025.010.000,123
RAPT4,6.66,PN N1,09/04/2020,RANDON S.A. IMPLEMENTOS E PARTICIPAÇÕES PN N1,4.85,Material de Transporte,14.92,Material Rodoviário,44.803.700,2.302.870.000,31/12/2019,3.183.380.000,345.776.000,"-0,15%",9.3,0.72,"22,20%",1.36,4.89,"-16,85%","4,14",24.7,"-27,20%",0.45,10.9,"-50,30%",0.36,5.9,"49,05%",1.02,8.8,"30,98%","-5,84",14.0,"109,67%",5.4,14.6,"44,54%",4.47,2.49,"-46,37%","5,72",1.69,"15,9%",0.8,6.328.110.000,1.692.540.000,124
RAIL3,19.47,ON NM,09/04/2020,ALL - AMÉRICA LATINA LOGÍSTICA S/A ON NM,14.29,Transporte,26.87,Transporte Ferroviário,290.029.000,30.354.000.000,31/12/2019,40.110.800.000,1.559.020.000,"0,46%",39.0,0.5,"-0,92%",3.64,5.35,"12,22%","14,63",35.0,"7,99%",4.28,29.3,"-25,40%",0.92,11.1,"53,53%",15.87,6.3,"31,07%","-1,58",6.8,"111,24%",0.0,9.3,"-1,60%",10.58,1.63,"-53,05%","19,33",1.4,"16,1%",0.22,32.832.700.000,8.344.280.000,125
SBSP3,41.78,ON NM,09/04/2020,SABESP ON NM,30.55,Água e Saneamento,66.47,Água e Saneamento,197.430.000,28.557.000.000,31/12/2019,39.548.500.000,683.510.000,"3,42%",8.48,4.93,"6,83%",1.32,31.65,"-19,65%","4,99",43.6,"6,75%",1.59,31.8,"-31,01%",0.61,18.7,"96,30%",-18.34,12.3,"-5,95%","-1,43",13.1,"23,08%",2.8,15.6,"53,43%",5.27,0.76,"14,58%","6,91",0.61,"10,4%",0.39,46.457.800.000,21.635.800.000,126
SAPR3,5.13,ON,09/04/2020,SANEPAR ON,4.07,Água e Saneamento,8.0,Água e Saneamento,1.099.060,7.752.480.000,31/12/2019,10.558.900.000,1.511.210.000,"-0,39%",7.18,0.71,"5,77%",1.26,4.09,"-14,51%","4,04",60.6,"-18,58%",1.64,40.6,"-10,29%",0.65,22.9,"7,74%",-64.26,16.1,"42,29%","-1,69",16.8,"118,69%",5.2,17.5,"65,81%",4.68,0.91,"-47,74%","5,50",0.5,"11,7%",0.4,11.939.600.000,6.173.910.000,127
SAPR4,4.9,PN,09/04/2020,SANEPAR PN,3.98,Água e Saneamento,7.35,Água e Saneamento,14.987.800,7.404.910.000,31/12/2019,10.211.300.000,1.511.210.000,"0,41%",6.86,0.71,"1,87%",1.2,4.09,"-21,65%","3,86",60.6,"7,05%",1.57,40.6,"-29,36%",0.62,22.9,"109,55%",-61.38,16.1,"-3,18%","-1,61",16.8,"14,68%",6.0,17.5,"260,96%",4.53,0.91,"-37,41%","5,32",0.5,"11,7%",0.4,11.939.600.000,6.173.910.000,128
SAPR11,25.0,UNT N2,09/04/2020,SANEPAR UNT N2,19.86,Água e Saneamento,37.2,Água e Saneamento,72.284.800,7.556.030.000,31/12/2019,10.362.400.000,1.511.210.000,"1,21%",7.0,3.57,"4,82%",1.22,20.43,"-19,67%","3,94",60.6,"1,14%",1.6,40.6,"-25,07%",0.63,22.9,"74,11%",-62.63,16.1,"8,29%","-1,64",16.8,"-0,96%",5.7,17.5,"0,00%",4.59,0.91,"0,00%","5,40",0.5,"11,7%",0.4,11.939.600.000,6.173.910.000,129
STBP3,4.0,ON NM,09/04/2020,SBPAR ON NM,3.02,Transporte,8.45,Serviços de Apoio e Armazenagem,23.025.600,2.679.190.000,31/12/2019,2.690.150.000,669.798.000,"0,00%",174.26,0.02,"-10,71%",1.98,2.02,"-19,19%","45,07",25.7,"8,11%",2.75,6.1,"-51,10%",0.84,1.6,"93,38%",7.39,1.9,"24,78%","-2,15",2.2,"41,25%",0.1,1.1,"-13,04%",13.79,2.54,"0,00%","45,26",0.32,"1,2%",0.3,3.196.120.000,1.352.380.000,130
SMTO3,17.01,ON NM,09/04/2020,SAO MARTINHO ON NM,12.3,Alimentos,29.75,Alimentos Diversos,42.042.600,6.021.730.000,31/12/2019,10.503.700.000,354.011.000,"5,33%",10.35,1.64,"15,09%",1.63,10.44,"-8,05%","9,27",27.2,"-9,71%",1.64,17.7,"-28,29%",0.52,15.9,"34,24%",2.5,5.6,"-3,28%","-1,49",6.4,"0,55%",3.9,15.8,"29,05%",4.1,2.75,"27,19%","16,17",1.58,"13,4%",0.32,11.507.800.000,3.695.000.000,131
SHUL4,7.35,PN,09/04/2020,SCHULZ PN,5.91,Máquinas e Equipamentos,16.58,"Motores, Compressores e Outros",5.960.540,656.678.000,31/12/2019,875.130.000,89.344.000,"0,55%",6.76,1.09,"1,24%",1.06,6.94,"-37,61%","7,94",21.8,"1,80%",0.62,7.8,"-27,44%",0.47,9.2,"49,41%",1.27,5.9,"47,39%","8,13",8.1,"66,07%",3.6,15.7,"12,60%",7.06,2.51,"-16,89%","10,58",0.86,"15,9%",0.76,1.397.290.000,620.101.000,132
SEER3,16.5,ON NM,09/04/2020,SER EDUCA ON NM,13.03,Diversos,33.46,Educacional,21.206.600,2.123.910.000,31/12/2019,1.999.630.000,128.722.000,"-1,67%",15.57,1.06,"9,05%",1.62,10.17,"-25,68%","8,31",54.5,"-9,24%",1.66,20.0,"-40,54%",0.83,10.7,"98,36%",8.92,10.0,"-48,98%","-3,50",11.5,"71,05%",15.5,10.4,"147,38%",5.18,1.59,"-71,95%","7,83",0.14,"5,8%",0.5,2.559.160.000,1.308.490.000,133
CSNA3,7.17,ON,09/04/2020,CSN ON,5.8,Siderurgia e Metalurgia,17.84,Siderurgia,144.514.000,9.948.550.000,31/12/2019,34.193.500.000,1.387.520.000,"-3,24%",5.56,1.29,"2,72%",0.98,7.33,"-13,61%","1,87",32.1,"-54,07%",0.39,20.9,"-49,19%",0.2,8.8,"70,82%",9.0,10.5,"13,31%","-0,37",12.1,"-22,78%",13.2,17.6,"170,49%",5.0,1.1,"-17,10%","6,43",2.75,"13,9%",0.5,50.869.300.000,10.174.500.000,134
SQIA3,17.2,ON,09/04/2020,SINQIA ON,9.0,Programas e Serviços,29.49,Programas e Serviços,20.658.200,1.213.440.000,31/12/2019,932.659.000,70.549.000,"5,65%",-265.0,-0.06,"9,41%",2.81,6.12,"0,94%","-1.389,97",33.0,"81,63%",6.93,-0.5,"-29,80%",1.96,-2.6,"287,66%",3.55,-0.1,"-4,53%","5,93",-0.3,"93,57%",0.1,-1.1,"54,75%",64.32,7.63,"11,06%","-1.068,34",0.2,"24,7%",0.28,619.992.000,431.461.000,135
SLCE3,20.36,ON NM,09/04/2020,SLC Agricola ON NM,16.12,Agropecuária,25.99,Agricultura,28.408.900,3.880.510.000,31/12/2019,4.855.510.000,190.595.000,"2,21%",12.46,1.63,"-10,31%",1.39,14.61,"2,52%","7,36",25.8,"0,20%",1.28,17.3,"-17,90%",0.56,10.4,"24,19%",3.71,7.6,"64,77%","-4,40",10.2,"102,68%",4.7,11.2,"-8,42%",7.67,1.51,"22,98%","9,21",0.67,"17,6%",0.44,6.958.130.000,2.784.680.000,136
SULA11,39.3,UNT N2,09/04/2020,Sul America UNT N2,26.34,Previdência e Seguros,66.76,Seguradoras,211.677.000,15.490.300.000,31/12/2019,270.494.000,1.182.460.000,"-3,56%",13.1,3.0,"16,27%",2.17,18.13,"-5,90%","16,66",12.8,"25,33%",0.71,4.3,"-34,03%",0.55,5.4,"115,16%",1.57,3.3,"57,05%","-15,58",8.1,"21,32%",1.6,16.5,"-0,41%",0.26,1.95,"56,64%","0,29",0.24,"9,7%",0.76,28.412.500.000,7.145.830.000,137
SUZB3,35.4,ON,09/04/2020,Suzano Papel ON,24.62,Madeira e Papel,44.94,Papel e Celulose,345.985.000,48.188.700.000,31/12/2019,102.473.000.000,1.361.260.000,"-6,74%",-17.1,-2.07,"-1,09%",2.68,13.2,"-6,72%","22,00",20.3,"-19,95%",1.85,8.4,"-10,79%",0.49,-10.8,"5,34%",6.51,2.2,"104,73%","-0,79",2.5,"36,50%",1.3,-15.7,"-22,35%",15.45,1.65,"72,91%","46,77",3.54,"24,3%",0.27,97.908.200.000,17.972.600.000,138
TASA4,3.88,PN,09/04/2020,TAURUS ARMAS PN,2.31,Máquinas e Equipamentos,6.57,Armas e Munições,3.767.440,343.240.000,31/12/2019,1.057.240.000,88.464.000,"-0,77%",7.9,0.49,"4,86%",-1.13,-3.44,"3,19%","4,53",34.1,"6,30%",0.34,7.6,"-35,23%",0.32,4.3,"47,90%",5.32,7.1,"131,43%","-0,51",8.3,"19,05%",0.0,-14.3,"59,78%",10.78,1.1,"-72,46%","13,96",-2.46,"4,1%",0.94,1.066.440.000,-304.621.000,139
TCSA3,0.68,ON NM,09/04/2020,TECNISA ON NM,0.6,Construção e Engenharia,2.19,Construção Civil,38.736.800,500.611.000,31/12/2019,523.788.000,736.192.000,"1,49%",-1.94,-0.35,"-8,11%",0.53,1.28,"-44,26%","-9,58",8.6,"-48,09%",1.37,-14.3,"-62,84%",0.29,-71.7,"26,21%",1.32,-3.0,"-29,61%","-12,40",-3.8,"-3,74%",0.0,-27.4,"-4,46%",-11.83,2.08,"-24,32%","-10,02",0.37,"-27,0%",0.21,1.718.540.000,940.565.000,140
TGMA3,17.71,ON NM,09/04/2020,Tegma ON NM,16.07,Transporte,41.27,Transporte Rodoviário,13.125.900,1.168.910.000,31/12/2019,1.319.660.000,66.003.000,"-2,37%",6.03,2.94,"-14,40%",2.03,8.71,"-33,17%","5,80",21.3,"-30,90%",0.87,14.9,"-52,96%",1.19,14.4,"44,20%",6.48,20.4,"45,95%","30,18",22.8,"166,22%",8.9,33.7,"63,50%",5.81,1.67,"-69,58%","6,55",0.38,"6,9%",1.37,985.421.000,575.079.000,141
VIVT3,50.86,ON,09/04/2020,TELEF BRASIL ON,39.22,Telefonia Fixa,56.66,Telefonia Fixa,5.734.070,86.003.500.000,31/12/2019,96.434.800.000,1.690.980.000,"-2,00%",17.2,2.96,"0,66%",1.22,41.67,"6,92%","12,45",49.9,"26,41%",1.94,15.6,"5,69%",0.79,11.3,"25,84%",94.24,6.4,"8,82%","-4,48",7.0,"20,82%",6.3,7.1,"11,47%",5.41,1.05,"-3,87%","13,96",0.2,"2,1%",0.41,108.290.000.000,70.455.600.000,142
VIVT4,50.8,PN,09/04/2020,TELEF BRASIL PN,43.37,Telefonia Fixa,61.02,Telefonia Fixa,174.130.000,85.902.000.000,31/12/2019,96.333.300.000,1.690.980.000,"-3,20%",17.18,2.96,"2,89%",1.22,41.67,"-3,25%","12,43",49.9,"11,65%",1.94,15.6,"-10,80%",0.79,11.3,"32,68%",94.13,6.4,"3,38%","-4,48",7.0,"16,83%",6.9,7.1,"28,03%",5.4,1.05,"-17,90%","13,94",0.2,"2,1%",0.41,108.290.000.000,70.455.600.000,143
TEND3,22.9,ON NM,09/04/2020,Tenda ON NM,16.12,Construção e Engenharia,39.58,Construção Civil,47.725.800,2.389.480.000,31/12/2019,2.189.460.000,104.344.000,"1,28%",9.07,2.53,"11,06%",1.77,12.94,"-23,41%","6,49",33.2,"43,04%",1.23,18.9,"-24,15%",0.69,13.6,"93,03%",1.24,10.6,"63,60%","6,29",15.6,"36,38%",2.6,19.5,"0,00%",5.47,4.33,"0,00%","5,94",0.64,"23,7%",0.56,3.478.480.000,1.350.620.000,144
TIMP3,13.31,ON,09/04/2020,TIM PARTICIPAÇÕES S.A. ON,10.26,Telefonia Móvel,17.49,Telefonia Móvel,149.583.000,32.223.900.000,31/12/2019,31.313.700.000,2.421.030.000,"-1,70%",8.9,1.5,"6,99%",1.44,9.27,"-11,91%","9,95",57.2,"10,68%",1.85,18.6,"-14,61%",0.8,20.8,"36,74%",95.72,8.0,"-8,25%","-3,41",9.7,"69,24%",3.1,16.1,"17,33%",3.74,1.04,"-40,15%","9,67",0.09,"1,1%",0.43,40.348.900.000,22.431.800.000,145
TOTS3,53.75,ON NM,09/04/2020,TOTVS ON NM,38.28,Programas e Serviços,83.72,Programas e Serviços,175.564.000,10.354.300.000,31/12/2019,9.266.800.000,192.638.000,"-1,36%",49.35,1.09,"15,15%",4.18,12.86,"-7,84%","11,84",67.4,"29,59%",4.54,38.3,"-16,73%",2.93,9.2,"139,79%",7.97,24.7,"-8,47%","10,94",45.2,"25,64%",0.8,8.5,"-20,08%",9.07,2.84,"-10,83%","10,60",0.18,"4,3%",0.65,3.535.930.000,2.477.210.000,146
TRPL4,19.18,PN N1,09/04/2020,TRANSMISSÃO PAULISTA PN N1,17.41,Energia Elétrica,24.79,Energia Elétrica,56.733.600,12.637.400.000,31/12/2019,13.266.500.000,658.883.000,"0,68%",7.17,2.68,"1,11%",1.07,17.9,"-11,20%","5,86",71.2,"0,89%",3.82,65.3,"-15,06%",0.59,53.8,"38,19%",3.81,10.0,"22,95%","-4,35",11.5,"8,22%",7.9,14.9,"45,50%",6.09,3.05,"17,88%","6,15",0.28,"10,4%",0.15,21.599.100.000,11.794.300.000,147
TRIS3,7.4,ON NM,09/04/2020,Trisul ON NM,4.46,Construção e Engenharia,17.1,Construção Civil,27.826.300,1.380.970.000,31/12/2019,1.198.220.000,186.618.000,"5,41%",9.86,0.75,"2,07%",1.32,5.6,"-34,86%","8,57",35.7,"58,80%",1.73,20.2,"-51,63%",0.77,18.9,"283,46%",1.42,9.0,"107,81%","1,91",12.6,"48,84%",1.4,13.4,"3,20%",7.38,3.15,"-5,30%","7,44",0.29,"23,1%",0.44,1.798.510.000,1.045.080.000,148
